Date,Open,High,Low,Close,Volume
15-02-1995,1.3841,1.3932,1.3599,1.3626,51447017
16-02-1995,1.3807,1.3841,1.3638,1.3821,61014258
17-02-1995,1.373,1.3769,1.3599,1.3599,33964839
21-02-1995,1.3638,1.3689,1.3089,1.3126,84106220
22-02-1995,1.2998,1.3126,1.2844,1.3075,81829193
23-02-1995,1.3164,1.3407,1.2808,1.2859,87766944
24-02-1995,1.2844,1.2933,1.2321,1.2485,158632694
27-02-1995,1.2241,1.2485,1.2204,1.2241,74966884
28-02-1995,1.2321,1.2768,1.2167,1.2653,62182441
01-03-1995,1.273,1.2844,1.2626,1.2808,62594742
02-03-1995,1.2844,1.305,1.273,1.2808,74948150
03-03-1995,1.273,1.3025,1.2653,1.2883,40652230
06-03-1995,1.273,1.2808,1.2653,1.273,37013351
07-03-1995,1.2768,1.2768,1.2241,1.2267,42051547
08-03-1995,1.2407,1.2844,1.2089,1.2665,101757076
09-03-1995,1.2768,1.2933,1.2614,1.273,54851606
10-03-1995,1.2677,1.2933,1.2614,1.2653,38322103
13-03-1995,1.2677,1.2677,1.2167,1.2204,90846708
14-03-1995,1.2241,1.2241,1.1038,1.1206,202989393
15-03-1995,1.1371,1.1601,1.1167,1.1206,203854575
16-03-1995,1.1283,1.1526,1.1206,1.1283,88332295
17-03-1995,1.1371,1.1371,1.1167,1.1245,60139684
20-03-1995,1.1245,1.1399,1.1206,1.1283,52955655
21-03-1995,1.1371,1.1768,1.1283,1.1601,85161961
22-03-1995,1.1601,1.2653,1.1601,1.2192,133626031
23-03-1995,1.2128,1.2167,1.1833,1.1884,47436438
24-03-1995,1.1974,1.2128,1.1921,1.2089,35729589
27-03-1995,1.2037,1.2037,1.1718,1.1898,39824504
28-03-1995,1.1601,1.1642,1.0924,1.1014,192372645
29-03-1995,1.0886,1.1167,1.0847,1.1014,138570519
30-03-1995,1.1078,1.1371,1.1038,1.1331,76250634
31-03-1995,1.1245,1.1399,1.1128,1.1283,51103416
03-04-1995,1.1371,1.1449,1.1245,1.1371,43032322
04-04-1995,1.1449,1.1487,1.0757,1.0847,119417272
05-04-1995,1.0924,1.1128,1.0807,1.1128,73864294
06-04-1995,1.1921,1.2167,1.1371,1.1768,201583820
07-04-1995,1.1845,1.1884,1.1601,1.1768,82472624
10-04-1995,1.1808,1.1845,1.1563,1.1718,32852867
11-04-1995,1.1768,1.2128,1.1718,1.2089,59824201
12-04-1995,1.2241,1.2677,1.1974,1.2485,132389122
13-04-1995,1.2562,1.2562,1.2128,1.2241,48626504
17-04-1995,1.2204,1.2614,1.2128,1.2294,58234350
18-04-1995,1.2321,1.2361,1.2013,1.2013,64459467
19-04-1995,1.2013,1.2013,1.1399,1.1655,77927956
20-04-1995,1.1884,1.2321,1.1718,1.2037,91893088
21-04-1995,1.1921,1.2653,1.1884,1.2526,185910139
24-04-1995,1.2485,1.2677,1.2321,1.2485,75922672
25-04-1995,1.2526,1.2614,1.1921,1.2089,76313121
26-04-1995,1.2037,1.2407,1.1974,1.2241,64265812
27-04-1995,1.2321,1.2321,1.2089,1.2128,39006155
28-04-1995,1.2167,1.2294,1.2013,1.2241,54470544
01-05-1995,1.2241,1.2407,1.2167,1.2241,49629132
02-05-1995,1.2241,1.2294,1.2013,1.2204,33468197
03-05-1995,1.2241,1.2361,1.2167,1.2204,47070986
04-05-1995,1.2241,1.2768,1.2167,1.2321,84680938
05-05-1995,1.2407,1.2526,1.2204,1.2446,58009469
08-05-1995,1.2768,1.3126,1.273,1.2959,107919705
09-05-1995,1.2998,1.3255,1.2808,1.3202,90059600
10-05-1995,1.3294,1.3407,1.305,1.3269,76712922
11-05-1995,1.332,1.332,1.2933,1.3126,146029410
12-05-1995,1.3089,1.3987,1.2959,1.396,180703279
15-05-1995,1.3807,1.4012,1.3599,1.396,109700097
16-05-1995,1.3807,1.4216,1.3599,1.4012,92733301
17-05-1995,1.4012,1.4216,1.3932,1.4085,73386402
18-05-1995,1.4123,1.4123,1.3841,1.3894,103624912
19-05-1995,1.373,1.4012,1.3638,1.3689,89965886
22-05-1995,1.3599,1.4123,1.3524,1.4123,103712371
23-05-1995,1.4123,1.4216,1.3932,1.405,77156445
24-05-1995,1.4012,1.4162,1.373,1.3932,73811204
25-05-1995,1.3841,1.4085,1.3769,1.3894,50997228
26-05-1995,1.3769,1.3807,1.3524,1.3663,31947048
30-05-1995,1.3638,1.373,1.3294,1.3447,54767272
31-05-1995,1.3486,1.3486,1.3126,1.3307,44490999
01-06-1995,1.3407,1.3599,1.3366,1.3499,52074832
02-06-1995,1.3407,1.3575,1.3294,1.3486,29476369
05-06-1995,1.3575,1.3932,1.3486,1.3932,71018802
06-06-1995,1.396,1.4216,1.3932,1.4085,87923131
07-06-1995,1.4123,1.4123,1.3807,1.3807,34726957
08-06-1995,1.3894,1.3894,1.3486,1.3741,37966027
09-06-1995,1.396,1.4012,1.3807,1.3932,52046723
12-06-1995,1.4085,1.4243,1.405,1.4136,59155790
13-06-1995,1.4243,1.4282,1.405,1.4085,35123639
14-06-1995,1.405,1.405,1.3894,1.396,32921595
15-06-1995,1.396,1.4012,1.3894,1.396,25868743
16-06-1995,1.405,1.4085,1.3932,1.405,24878592
19-06-1995,1.405,1.4486,1.3932,1.4216,130946077
20-06-1995,1.4728,1.5289,1.4728,1.5175,205962945
21-06-1995,1.524,1.6045,1.4969,1.5815,174584363
22-06-1995,1.5687,1.5878,1.5561,1.5726,132167363
23-06-1995,1.561,1.5687,1.5289,1.561,64690593
26-06-1995,1.5443,1.5521,1.524,1.5408,42607532
27-06-1995,1.5175,1.5443,1.4856,1.4856,60545724
28-06-1995,1.4728,1.5213,1.4534,1.4919,74282829
29-06-1995,1.4856,1.5408,1.4728,1.5124,64856150
30-06-1995,1.5124,1.5329,1.4764,1.4869,46152687
03-07-1995,1.4882,1.5085,1.4803,1.5022,10985311
05-07-1995,1.5009,1.5329,1.4882,1.4882,49379247
06-07-1995,1.4882,1.5048,1.4651,1.5048,51340806
07-07-1995,1.5009,1.5766,1.4969,1.5561,107960298
10-07-1995,1.5561,1.5971,1.5408,1.5561,83087970
11-07-1995,1.5289,1.5561,1.5073,1.5085,59874171
12-07-1995,1.5124,1.5369,1.4764,1.5048,79149241
13-07-1995,1.5175,1.561,1.5085,1.524,98258746
14-07-1995,1.5175,1.5687,1.5048,1.561,77509413
17-07-1995,1.5647,1.5932,1.5561,1.5687,63072636
18-07-1995,1.5687,1.5866,1.5289,1.5408,71012549
19-07-1995,1.5048,1.5369,1.4406,1.4572,145307878
20-07-1995,1.4728,1.5175,1.4406,1.5073,92386589
21-07-1995,1.3769,1.4366,1.3769,1.4012,211360332
24-07-1995,1.4085,1.4572,1.4012,1.4534,59855445
25-07-1995,1.4728,1.4856,1.4598,1.4651,73492610
26-07-1995,1.4803,1.4803,1.4534,1.4534,47814386
27-07-1995,1.4572,1.5213,1.4572,1.4995,90687417
28-07-1995,1.4969,1.5124,1.4406,1.4572,72771078
31-07-1995,1.4572,1.4598,1.4327,1.4406,44209886
01-08-1995,1.4366,1.4366,1.3932,1.3932,58821563
02-08-1995,1.405,1.4406,1.4012,1.4216,76728542
03-08-1995,1.4123,1.4598,1.405,1.4406,59661789
04-08-1995,1.4406,1.4448,1.4012,1.4162,53633444
07-08-1995,1.4123,1.4282,1.3807,1.3894,54036376
08-08-1995,1.396,1.4012,1.3575,1.3599,65424628
09-08-1995,1.3638,1.4012,1.3599,1.3807,102912760
10-08-1995,1.3807,1.3841,1.3638,1.3689,45743520
11-08-1995,1.373,1.3807,1.3407,1.3795,57709606
14-08-1995,1.3769,1.4012,1.373,1.3894,46686804
15-08-1995,1.405,1.4123,1.3807,1.411,88647781
16-08-1995,1.4085,1.4243,1.396,1.4243,81610559
17-08-1995,1.4282,1.4572,1.4123,1.4282,68854215
18-08-1995,1.4366,1.4448,1.4012,1.4366,67254982
21-08-1995,1.4366,1.4534,1.4123,1.4123,75794616
22-08-1995,1.4216,1.4448,1.4123,1.4327,60530119
23-08-1995,1.4366,1.4691,1.4282,1.4572,70781403
24-08-1995,1.4598,1.4803,1.4572,1.4651,80298686
25-08-1995,1.4691,1.4691,1.4282,1.4327,37466258
28-08-1995,1.4366,1.4406,1.3769,1.3769,67779740
29-08-1995,1.3769,1.3841,1.3599,1.3807,88422870
30-08-1995,1.3841,1.4012,1.3807,1.3894,42801186
